Country,Year,Value
Namibia,2010,5980
Namibia,2015,7697
Namibia,2021,6377
Namibia,2022,7796
Namibia,2023,7239
Nepal,1995,1330
Nepal,2005,2282
Nepal,2010,5116
Nepal,2015,6612
Nepal,2021,15830
Nepal,2022,13744
Nepal,2023,12082
Netherlands (Kingdom of the),1995,157929
Netherlands (Kingdom of the),2005,310591
Netherlands (Kingdom of the),2010,439987
Netherlands (Kingdom of the),2015,412644
Netherlands (Kingdom of the),2021,623369
Netherlands (Kingdom of the),2022,710772
Netherlands (Kingdom of the),2023,664131
Netherlands Antilles [former],1995,1830
Netherlands Antilles [former],2005,894
Netherlands Antilles [former],2010,2687
New Caledonia,1995,840
New Caledonia,2005,1774
New Caledonia,2010,3303
New Caledonia,2015,2529
New Caledonia,2021,2547
New Caledonia,2022,3078
New Caledonia,2023,2885
New Zealand,1995,13958
New Zealand,2005,26232
New Zealand,2010,30616
New Zealand,2015,36528
New Zealand,2021,49221
New Zealand,2022,54850
New Zealand,2023,50469
Nicaragua,1995,1009
Nicaragua,2005,2536
Nicaragua,2010,4191
Nicaragua,2015,5866
Nicaragua,2021,9826
Nicaragua,2022,11247
Nicaragua,2023,10912
Niger,1995,345
Niger,2005,736
Niger,2010,2273
Niger,2015,2458
Niger,2021,2772
Niger,2022,3779
Niger,2023,2518
Nigeria,1995,8221
Nigeria,2005,21314
Nigeria,2010,44235
Nigeria,2015,33831
Nigeria,2021,52068
Nigeria,2022,60671
Nigeria,2023,65048
North Macedonia,1995,1719
North Macedonia,2005,3228
North Macedonia,2010,5474
North Macedonia,2015,6427
North Macedonia,2021,11390
North Macedonia,2022,12755
North Macedonia,2023,12052
Northern Mariana Islands,1995,628
Northern Mariana Islands,2005,1952
Northern Mariana Islands,2010,2867
Northern Mariana Islands,2015,4215
Northern Mariana Islands,2021,6690
Northern Mariana Islands,2022,7225
Norway,1995,32706
Norway,2005,55488
Norway,2010,77330
Norway,2015,76399
Norway,2021,99254
Norway,2022,107197
Norway,2023,96667
Oman,1995,4249
Oman,2005,8970
Oman,2010,19775
Oman,2015,29007
Oman,2021,30995
Oman,2022,38573
Oman,2023,53186
Other non-specified areas,1995,103506
Other non-specified areas,2005,181592
Other non-specified areas,2010,251315
Other non-specified areas,2015,228508
Other non-specified areas,2021,382555
Other non-specified areas,2022,436551
Pakistan,1995,11704
Pakistan,2005,25097
Pakistan,2010,37537
Pakistan,2015,43990
Pakistan,2021,72892
Pakistan,2022,70176
Pakistan,2023,47822
Palau,1995,60
Palau,2005,156
Palau,2010,107
Palau,2015,150
Palau,2021,229
Palau,2022,303
Palau,2023,397
Panama,1995,2511
Panama,2005,4152
Panama,2010,16737
Panama,2015,22503
Panama,2021,13313
Panama,2022,15224
Panama,2023,14521
Papua New Guinea,1995,1451
Papua New Guinea,2005,1728
Papua New Guinea,2010,3950
Papua New Guinea,2015,5700
Papua New Guinea,2021,4500
Papua New Guinea,2022,5704
Papua New Guinea,2023,6354
Paraguay,1995,3136
Paraguay,2005,3274
Paraguay,2010,10033
Paraguay,2015,10291
Paraguay,2021,13560
Paraguay,2022,15880
Paraguay,2023,16105
Peru,1995,7584
Peru,2005,12502
Peru,2010,29966
Peru,2015,38026
Peru,2021,51178
Peru,2022,60246
Peru,2023,52973
Philippines,1995,28487
Philippines,2005,49487
Philippines,2010,58468
Philippines,2015,70153
Philippines,2021,124390
Philippines,2022,145880
Philippines,2023,133752
Poland,1995,29019
Poland,2005,101539
Poland,2010,174128
Poland,2015,189696
Poland,2021,335451
Poland,2022,358593
Poland,2023,341407
Portugal,1995,33565
Portugal,2005,63904
Portugal,2010,77682
Portugal,2015,66909
Portugal,2021,98337
Portugal,2022,115291
Portugal,2023,113486
Qatar,1995,3398
Qatar,2005,10061
Qatar,2010,23240
Qatar,2015,32611
Qatar,2021,27985
Qatar,2022,33479
Qatar,2023,33073
Republic of Korea,1995,135109
Republic of Korea,2005,261236
Republic of Korea,2010,425208
Republic of Korea,2015,436487
