Country,Year,Value
Mauritius,2018,11433.34646
Mexico,2023,13826.13092
Mexico,2022,11402.14104
Mexico,2021,10314.0505
Mexico,2020,8841.270613
Mexico,2019,10369.55518
Mexico,2018,10084.79393
Micronesia (Federated States of),2023,4084.169404
Micronesia (Federated States of),2022,3835.381843
Micronesia (Federated States of),2021,3493.872286
Micronesia (Federated States of),2020,3353.88943
Micronesia (Federated States of),2019,3572.659183
Micronesia (Federated States of),2018,3566.586904
Monaco,2023,256580.6376
Monaco,2022,226052.0607
Monaco,2021,223823.3272
Monaco,2020,176891.8063
Monaco,2019,193746.7299
Monaco,2018,188298.3897
Mongolia,2023,5790.373579
Mongolia,2022,5063.904781
Mongolia,2021,4577.227362
Mongolia,2020,4045.536307
Mongolia,2019,4395.375253
Mongolia,2018,4160.134489
Montenegro,2023,11884.64157
Montenegro,2022,10149.35229
Montenegro,2021,9705.399899
Montenegro,2020,7863.870891
Montenegro,2019,9060.814932
Montenegro,2018,8942.820912
Montserrat,2023,18196.74878
Montserrat,2022,16227.92791
Montserrat,2021,15750.04341
Montserrat,2020,14828.78175
Montserrat,2019,14821.34116
Montserrat,2018,13589.9743
Morocco,2023,3829.963407
Morocco,2022,3508.04197
Morocco,2021,3843.166082
Morocco,2020,3317.104499
Morocco,2019,3560.261474
Morocco,2018,3553.069046
Mozambique,2023,622.9856251
Mozambique,2022,578.2516834
Mozambique,2021,509.9078583
Mozambique,2020,462.4338872
Mozambique,2019,519.0925524
Mozambique,2018,517.5072564
Myanmar,2023,1146.854259
Myanmar,2022,1212.173691
Myanmar,2021,1827.984337
Myanmar,2020,1508.392782
Myanmar,2019,1364.005771
Myanmar,2018,1324.922233
Namibia,2023,4168.285136
Namibia,2022,4349.045234
Namibia,2021,4412.835569
Namibia,2020,3878.589909
Namibia,2019,4731.82592
Namibia,2018,5308.608267
Nauru,2023,14811.51693
Nauru,2022,14405.95872
Nauru,2021,17429.54863
Nauru,2020,12710.02186
Nauru,2019,12137.92659
Nauru,2018,12719.14036
Nepal,2023,1363.336142
Nepal,2022,1337.656225
Nepal,2021,1250.013198
Nepal,2020,1134.376323
Nepal,2019,1206.03131
Nepal,2018,1129.866138
Netherlands,2023,63803.2209
Netherlands,2022,58451.5298
Netherlands,2021,59472.0012
Netherlands,2020,52876.06086
Netherlands,2019,52966.6506
Netherlands,2018,53367.69743
New Caledonia,2023,34981.1576
New Caledonia,2022,33516.36302
New Caledonia,2021,35311.55451
New Caledonia,2020,33270.33054
New Caledonia,2019,33411.33594
New Caledonia,2018,34902.89692
New Zealand,2023,48749.95189
New Zealand,2022,47961.95848
New Zealand,2021,49659.18687
New Zealand,2020,41952.78875
New Zealand,2019,42659.79471
New Zealand,2018,43226.51894
